Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Deafness traumatic,,,,
Diabetic retinal oedema,,,,
Pancreatic carcinoma stage IV,,,,
Biopsy liver abnormal,,,,
Anhidrosis,,,,
Metastases to peripheral nervous system,,,,
Skin fragility,,,,
Fear of disease,,,,
Joint dislocation,,,,
Periodontitis,,,,
Blood lactate dehydrogenase abnormal,,,,
Liver function test increased,,,,
Thrombosis in device,,,,
Skin adhesion,,,,
Tonic clonic movements,,,,
Pregnancy on contraceptive,,,,
Optic nerve hypoplasia,,,,
Cognitive disorder,,,,
Renal transplant,,,,
Malignant neoplasm of unknown primary site,,,,
Trigemino-cardiac reflex,,,,
Arteriosclerosis,,,,
Apocrine breast carcinoma,,,,
Occult blood negative,,,,
Pancreatic duct stenosis,,,,
Meningoencephalitis bacterial,,,,
Adrenal gland operation,,,,
Mediastinal abscess,,,,
Uterine mass,,,,
IIIrd nerve disorder,,,,
Small intestinal perforation,,,,
Disorientation,,,,
Purtscher retinopathy,,,,
Stomatitis,,,,
Spinal cord injury thoracic,,,,
Muscle hypertrophy,,,,
Computerised tomogram head abnormal,,,,
Coagulation factor V level decreased,,,,
Oncologic complication,,,,
Hanging,,,,
Barrett's oesophagus,,,,
Secondary adrenocortical insufficiency,,,,
Angiomyolipoma,,,,
Neck mass,,,,
Subarachnoid haematoma,,,,
Cytokine release syndrome,,,,
Synovitis,,,,
Tongue neoplasm benign,,,,
Paranoia,,,,
Osteosarcoma,,,,
Extradural neoplasm,,,,
Anaphylactic reaction,,,,
Onycholysis,,,,
Product container issue,,,,
Splenic haematoma,,,,
Tuberculoma of central nervous system,,,,
Culture,,,,
Iatrogenic metastasis,,,,
Forced expiratory volume abnormal,,,,
Dieulafoy's vascular malformation,,,,
Incision site swelling,,,,
Breast cancer stage III,,,,
Nail injury,brittle_nails,,,
Swelling of eyelid,,,,
Epidural haemorrhage,,,,
Factor V inhibition,,,,
Auricular swelling,,,,
Dental prosthesis placement,,,,
Aortic bruit,,,,
Portal venous gas,,,,
Obstructive nephropathy,,,,
Haptoglobin abnormal,,,,
Scleral disorder,,,,
Procedural failure,,,,
Gingival ulceration,,,,
Anal blister,,,,
Hypertonia neonatal,,,,
Leukaemia cutis,,,,
Prostatic disorder,,,,
Faecal calprotectin decreased,,,,
Ketosis-prone diabetes mellitus,,,,
Dysdiadochokinesis,,,,
Postoperative renal failure,,,,
Pericardial excision,,,,
Device colour issue,,,,
Oesophagogastroscopy abnormal,,,,
Blood prolactin increased,,,,
Necrotising fasciitis,,,,
Cerebral arteriosclerosis,,,,
Product caught fire,,,,
Pilonidal sinus repair,,,,
Corneal thickening,,,,
Blood cholesterol decreased,,,,
Cogwheel rigidity,,,,
Spinal cord compression,,,,
Pallor,,,,
Medical device site bruise,,,,
Lung abscess,,,,
Encephalitis autoimmune,,,,
Inflammatory bowel disease,pain_during_bowel_movements,,,
BK virus infection,,,,
Persistent foetal circulation,,,,
Biopsy lung abnormal,,,,
Genitourinary tract infection,,,,
Joint warmth,,,,
Serum sickness-like reaction,,,,
Superficial spreading melanoma stage unspecified,,,,
Breast cancer female,,,,
Intensive care unit delirium,,,,
Haemorrhagic arteriovenous malformation,,,,
Magnetic resonance imaging normal,,,,
Epiphyseal injury,,,,
Peripheral nerve injury,,,,
Full blood count increased,,,,
Urinary tract discomfort,,,,
Bulbar palsy,,,,
Secondary hypothyroidism,,,,
Amniotic fluid volume increased,,,,
Bilevel positive airway pressure,,,,
Nasal operation,,,,
Meningitis meningococcal,,,,
Injection related reaction,,,,
Colon cancer stage IV,,,,
Venous pressure jugular decreased,,,,
Human chorionic gonadotropin positive,,,,
Astrovirus test positive,,,,
Anticonvulsant drug level below therapeutic,,,,
Neonatal behavioural syndrome,,,,
Hyperaemia,,,,
Irregular breathing,,,,
Maternal exposure before pregnancy,,,,
Body dysmorphic disorder,,,,
Vulvovaginal mycotic infection,,,,
Middle ear disorder,,,,
Malignant hypertension,,,,
Luteal phase deficiency,,,,
Metastases to bladder,,,,
Muscle enzyme,,,,
Skin exfoliation,,,,
Bacterial colitis,,,,
Ovarian cystectomy,,,,
Drug level increased,,,,
Superinfection bacterial,,,,
Base excess increased,,,,
Circumcision,,,,
Abnormal dreams,,,,
Coeliac artery occlusion,,,,
Mixed adenoneuroendocrine carcinoma,,,,
Bile duct necrosis,,,,
Fractured coccyx,,,,
Umbilical cord compression,,,,
Postictal paralysis,,,,
Jaundice acholuric,yellowish_skin,yellowing_of_eyes,,
Food craving,,,,
Cervix enlargement,,,,
Cerebral ischaemia,,,,
Anal erosion,,,,
Metastases to eye,,,,
Post concussion syndrome,,,,
Radial pulse abnormal,,,,
First degree chemical burn of skin,,,,
Catheter site mass,,,,
Oral mucosal scab,,,,
Urinary casts present,,,,
Arterial rupture,,,,
Bradyphrenia,,,,
Ear disorder,,,,
Hemianaesthesia,,,,
Anal haemorrhage,bloody_stool,,,
Hypoaesthesia eye,,,,
Anti-insulin antibody increased,,,,
Immune effector cell-associated neurotoxicity syndrome,,,,
Secondary progressive multiple sclerosis,,,,
Manufacturing production issue,,,,
Stoma site discharge,,,,
Rhesus antigen positive,,,,
Metastases to peripheral vascular system,,,,
Cervicogenic headache,,,,
Potassium wasting nephropathy,,,,
Dermatomyositis,,,,
Pulmonary embolism,,,,
Congenital cytomegalovirus infection,,,,
Scrotal oedema,,,,
Congenital ectodermal dysplasia,,,,
Immunosuppressant drug level decreased,,,,
Congenital flat feet,,,,
Oral surgery,,,,
Chemical burn,,,,
Bladder prolapse,,,,
Pneumocephalus,,,,
Oropharyngeal spasm,,,,
Low density lipoprotein decreased,,,,
Small intestinal resection,,,,
Blood phosphorus increased,,,,
Vitamin B complex deficiency,,,,
Emphysema,,,,
Brain neoplasm,,,,
Gamma-glutamyltransferase,,,,
Waxy flexibility,,,,
Breech delivery,,,,
Blood prolactin abnormal,,,,
Strangury,,,,
Electrocardiogram T wave abnormal,,,,
Urethral melanoma metastatic,,,,
Non-dipping,,,,
Hypersensitivity vasculitis,swollen_blood_vessels,,,
Immune reconstitution inflammatory syndrome,,,,
Wound necrosis,,,,
Bile output increased,,,,
West Nile virus test positive,,,,
Gastritis fungal,swelling_of_stomach,,,
Oropharyngeal surgery,,,,
Magnetic resonance imaging liver abnormal,,,,
Malignant glaucoma,,,,
Sinus operation,,,,
Helicobacter infection,,,,
Prostate cancer recurrent,,,,
Mediastinal fibrosis,,,,
Cardiac dysfunction,,,,
Laryngospasm,,,,
Polyomavirus viraemia,,,,
Pleural fistula,,,,
Anaplastic large-cell lymphoma,,,,
Renin decreased,,,,
Hypoglycaemic coma,irregular_sugar_level,coma,,
B-cell lymphoma refractory,,,,
Scratch,,,,
Vascular resistance pulmonary decreased,,,,
Monoclonal gammopathy,,,,
Bundle branch block,,,,
Enterocolitis bacterial,,,,
Rhabdomyosarcoma recurrent,,,,
Application site pallor,,,,
Trunk injury,,,,
X-ray with contrast lower gastrointestinal tract,,,,
Ear congestion,,,,
Breast mass,,,,
Ehlers-Danlos syndrome,,,,
Gingivitis ulcerative,,,,
Renal surgery,,,,
Disinhibition,,,,
Uveal melanoma,,,,
Vascular skin disorder,,,,
Postoperative respiratory failure,,,,
Radiation thyroiditis,,,,
Prothrombin time ratio increased,,,,
Duodenogastric reflux,,,,
Pulmonary alveolar haemorrhage,,,,
Floppy eyelid syndrome,,,,
Penile erosion,,,,
Poor venous access,,,,
Uterine cervical pain,,,,
Acanthamoeba infection,,,,
Myocardial ischaemia,,,,
Panic attack,,,,
Auditory neuropathy spectrum disorder,,,,
Red blood cell rouleaux formation present,,,,
Tracheal injury,,,,
Antibiotic therapy,,,,
Rocky mountain spotted fever,,,,
Systolic hypertension,,,,
Pityriasis rubra pilaris,,,,
Liver disorder,acute_liver_failure,,,
Peripheral artery aneurysm,,,,
Meniscus operation,,,,
Autoimmune myositis,,,,
Jejunal stenosis,,,,
Involuntary commitment,,,,
Uvulitis,,,,
Peritoneal tuberculosis,,,,
Gastroschisis,,,,
Malformation biliary,,,,
Blood lactate dehydrogenase decreased,,,,
Spinal cord oedema,,,,
Borderline serous tumour of ovary,,,,
Bronchospasm,,,,
Urinary retention,,,,
Device operational issue,,,,
Skin fissures,,,,
Psychotic disorder,,,,
Nervousness,,,,
Product name confusion,,,,
Drug peak level,,,,
Cystocele,,,,
Polymyositis,,,,
Tumour flare,,,,
Blood creatine phosphokinase decreased,,,,
Body temperature abnormal,,,,
Blood elastase decreased,,,,
Premenstrual syndrome,,,,
Peripheral arterial occlusive disease,,,,
Breast calcifications,,,,
Arterial insufficiency,,,,
Chronic lymphocytic leukaemia recurrent,,,,
Labyrinthitis,,,,
Administration site dryness,,,,
Salivary gland calculus,,,,
Waldenstrom's macroglobulinaemia,,,,
Oesophageal mass,,,,
Circumstance or information capable of leading to medication error,,,,
Legionella infection,,,,
Pregnancy,,,,
Mantle cell lymphoma refractory,,,,
Toe amputation,,,,
Anaemia folate deficiency,,,,
Autologous haematopoietic stem cell transplant,,,,
Apparent life threatening event,,,,
Lung transplant rejection,,,,
Hepatomegaly,,,,
Compulsive shopping,,,,
Nocturia,,,,
Anterior segment ischaemia,,,,
Functional gastrointestinal disorder,,,,
Blood thyroid stimulating hormone abnormal,,,,
Duodenal obstruction,,,,
Leukopenia,,,,
Malignant pleural effusion,,,,
Primary adrenal insufficiency,,,,
Metastases to chest wall,,,,
Iron deficiency,,,,
Sinus polyp,,,,
Gastrointestinal lymphoma,,,,
Chondritis,,,,
Food allergy,,,,
Logorrhoea,,,,
Gastrointestinal haemorrhage,,,,
Pseudocholelithiasis,,,,
Bone deformity,,,,
Blood triglycerides abnormal,,,,
Bone density abnormal,,,,
Cataract nuclear,,,,
Dyslexia,,,,
NAT2 polymorphism,,,,
Nasal ulcer,,,,
Tangentiality,,,,
Nasal abscess,,,,
Biopsy lymph gland abnormal,,,,
Post-traumatic stress disorder,,,,
Plasmablastic lymphoma,,,,
Stoma site ulcer,,,,
Pelvic fluid collection,,,,
Cardiac index decreased,,,,
Urine bilirubin decreased,,,,
Pituitary amenorrhoea,,,,
Femoral hernia,,,,
Antibiotic associated colitis,,,,
Acquired haemophilia,,,,
Interleukin level increased,,,,
Epithelioid sarcoma,,,,
Skin laxity,,,,
Essential hypertension,,,,
Alcoholism,history_of_alcohol_consumption,,,
Salivary gland enlargement,,,,
Wolff-Parkinson-White syndrome congenital,,,,
Ovarian granulosa cell tumour,,,,
Heterophoria,,,,
Device lead damage,,,,
Extravasation blood,,,,
Hepatitis B DNA increased,,,,
Intervertebral disc displacement,,,,
Dysacusis,,,,
"Follicle centre lymphoma, follicular grade I, II, III stage III",,,,
Salivary gland cancer stage III,,,,
Rubella,,,,
5-hydroxyindolacetic acid in urine,,,,
Xerosis,,,,
Apallic syndrome,,,,
Transferrin increased,,,,
Skin dystrophy,,,,
Dehydroepiandrosterone decreased,,,,
Post-traumatic pain,,,,
Tooth avulsion,,,,
Anorectal infection bacterial,,,,
Extravasation,,,,
Lip scab,,,,
Upper respiratory tract infection bacterial,,,,
Peritoneal mesothelioma malignant,,,,
Pericardial effusion malignant,,,,
Blast cells,,,,
PHACES syndrome,,,,
Hemianopia,blurred_and_distorted_vision,,,
Liver carcinoma ruptured,,,,
Arteritis infective,,,,
Scleroedema,,,,
Erythropenia,,,,
Carney complex,,,,
Genital infection bacterial,,,,
Cholangiostomy,,,,
Cutaneous vasculitis,,,,
Cyanosis central,,,,
Periprosthetic fracture,,,,
Mysophobia,,,,
Mycobacterium test positive,,,,
Cortisol free urine increased,,,,
Bronchial haemorrhage,,,,
Rapid eye movement sleep behaviour disorder,,,,
Nasal cyst,,,,
Renal ischaemia,,,,
Pneumonia adenoviral,,,,
Bulimia nervosa,,,,
Painful respiration,,,,
Prostate cancer stage I,,,,
Vomiting projectile,,,,
General physical condition,,,,
Blood oestrogen abnormal,,,,
Pharyngitis,,,,
CSF protein increased,,,,
Haemorrhoidal haemorrhage,,,,
Hypertransaminasaemia,,,,
Medical device site pain,,,,
Stiff tongue,,,,
Necrosis,,,,
Listless,,,,
Injection site joint swelling,,,,
Conjunctival scar,,,,
Renal transplant failure,,,,
Haemorrhoid infection,,,,
Palliative care,,,,
Neutrophil count increased,,,,
Enterococcal infection,,,,
Epistaxis,,,,
Cerebral microangiopathy,,,,
Milia,,,,
Application site pustules,,,,
Child abuse,,,,
Hepatitis chronic active,,,,
Pulse abnormal,,,,
Nystagmus,,,,
Arterial bypass occlusion,,,,
Pityriasis rosea,,,,
Septic arthritis staphylococcal,,,,
Aquagenic pruritus,,,,
Necrotising ulcerative gingivostomatitis,,,,
Leukaemia,,,,
Pulmonary sepsis,,,,
Liposarcoma recurrent,,,,
Escherichia vaginitis,,,,
Vibratory sense increased,,,,
Hormone receptor positive breast cancer,,,,
Dialysis hypotension,,,,
Erosive duodenitis,,,,
Tracheomalacia,,,,
Enterocolitis haemorrhagic,,,,
Intracardiac pressure increased,,,,
Fungal rhinitis,,,,
Vasogenic cerebral oedema,,,,
Foreign body in eye,,,,
Pulmonary vascular resistance abnormality,,,,
Chronic tonsillitis,,,,
Vulval eczema,,,,
Bacillary angiomatosis,,,,
Limb reduction defect,,,,
Adenomatous polyposis coli,,,,
Water pollution,,,,
Lymphocytosis,,,,
Persistent urogenital sinus,,,,
Ageusia,,,,
Pancreatic haemorrhage,,,,
Gastrointestinal stoma complication,,,,
Viral diarrhoea,diarrhoea,,,
Swollen tear duct,,,,
Expiratory reserve volume decreased,,,,
Hyperpathia,,,,
Pancreatic enzymes decreased,,,,
Jaw cyst,,,,
C-telopeptide increased,,,,
Pregnancy after post coital contraception,,,,
Upper motor neurone lesion,,,,
Nontherapeutic agent blood positive,,,,
Child-Pugh-Turcotte score increased,,,,
Vulval cancer stage III,,,,
Erythrophagocytosis,,,,
Injection site joint pain,,,,
Disorder of orbit,,,,
Incision site ulcer,,,,
pH body fluid abnormal,,,,
Antibody test abnormal,,,,
Portal fibrosis,,,,
Joint instability,,,,
Bone density decreased,,,,
Periarthritis,,,,
Loss of bladder sensation,,,,
Spontaneous penile erection,,,,
Respiratory tract irritation,,,,
Peripartum cardiomyopathy,,,,
Hepatic siderosis,,,,
Carcinoembryonic antigen,,,,
Erysipelas,,,,
Hearing aid user,,,,
Medical device site joint inflammation,,,,
Pancreatitis necrotising,,,,
Microangiopathic haemolytic anaemia,,,,
Rhinorrhoea,,,,
Embolic stroke,,,,
Medial tibial stress syndrome,,,,
Wrong product stored,,,,
Halo vision,,,,
Blood immunoglobulin M decreased,,,,
Simple partial seizures,,,,
Oesophageal rupture,,,,
Diabetic ketoacidotic hyperglycaemic coma,irregular_sugar_level,,,
Lipase increased,,,,
Gastric banding,,,,
Failure to anastomose,,,,
Optic disc disorder,,,,
Nipple enlargement,,,,
Meningococcal sepsis,,,,
Hypogonadism male,,,,
Congenital hydronephrosis,,,,
Cutaneous calcification,,,,
Renal cyst,,,,
Blood cholesterol abnormal,,,,
Foetal growth restriction,,,,
Type 1 diabetes mellitus,,,,
Maternal drugs affecting foetus,,,,
Amyloid arthropathy,,,,
Left ventricular failure,,,,
Colostomy infection,,,,
Disturbance in attention,,,,
Superinfection fungal,,,,
Air embolism,,,,
Magnetic resonance imaging spinal abnormal,,,,
Thyroid function test,,,,
Oropharyngeal swelling,,,,
Traumatic renal injury,,,,
Decreased insulin requirement,,,,
Blood bicarbonate increased,,,,
Lower gastrointestinal perforation,,,,
Glucose tolerance test abnormal,,,,
Diuretic therapy,,,,
Urticaria vesiculosa,,,,
Hypertrophic osteoarthropathy,,,,
Pyomyositis,,,,
Eyeball avulsion,,,,
Erythroid maturation arrest,,,,
Delayed ischaemic neurological deficit,,,,
Cerebellar haemorrhage,,,,
Cardiac disorder,,,,
Blood immunoglobulin A increased,,,,
Bone fistula,,,,
Pneumonia bacterial,,,,
Zinc deficiency,,,,
Measles,,,,
Acute right ventricular failure,,,,
Intrapartum haemorrhage,,,,
Bladder adenocarcinoma recurrent,,,,
Ovarian haematoma,,,,
Vessel puncture site pain,,,,
Nail disorder,brittle_nails,small_dents_in_nails,,
Scrotal haematocoele,,,,
Pulmonary vascular disorder,,,,
Hepatic infiltration eosinophilic,,,,
Low carbohydrate diet,,,,
Otitis media acute,,,,
Microscopic polyangiitis,,,,
Foster care,,,,
Fungaemia,,,,
Traumatic liver injury,,,,
Cerebral artery stenosis,,,,
Transfusion-associated dyspnoea,,,,
Retinal artery thrombosis,,,,
Cardiac failure,,,,
Tooth disorder,,,,
Dental discomfort,,,,
Necrotising retinitis,,,,
Gastrointestinal inflammation,,,,
Eosinophilic myocarditis,,,,
Blood electrolytes decreased,,,,
Cervical cord compression,,,,
Tobacco abuse,,,,
Hot flush,,,,
Eosinophilic cystitis,,,,
Urostomy,,,,
Polyhydramnios,,,,
Adulterated product,,,,
Costovertebral angle tenderness,,,,
Polychromic red blood cells present,,,,
Recurrent cancer,,,,
HIV viraemia,,,,
Duodenal polyp,,,,
Substance abuse,,,,
Decompression sickness,,,,
Incision site complication,,,,
Spinal compression fracture,,,,
Cystitis klebsiella,,,,
Pregnancy test false positive,,,,
Motor developmental delay,,,,
Brachiocephalic vein thrombosis,,,,
Uterine tachysystole,,,,
Coma acidotic,,,,
Anal prolapse,,,,
External ear pain,,,,
Kidney infection,,,,
Decreased ventricular preload,,,,
Extraocular muscle disorder,,,,
Breast fibrosis,,,,
Arteriovenous malformation,,,,
Device dispensing error,,,,
Varicocele,,,,
Anti-erythrocyte antibody positive,,,,
Disability,,,,
Panencephalitis,,,,
Peak expiratory flow rate increased,,,,
Antiviral drug level above therapeutic,,,,
Foreign body ingestion,,,,
Foreign body in gastrointestinal tract,,,,
CD4 lymphocyte percentage decreased,,,,
Hypoventilation,,,,
Catheter site cellulitis,,,,
Duplicate therapy error,,,,
Vitamin C deficiency,,,,
Haemangioma of spleen,,,,
Immune-mediated hypothyroidism,,,,
HLA marker study positive,,,,
Scrotal ulcer,,,,
T-cell unclassifiable lymphoma low grade,,,,
Visceral leishmaniasis,,,,
Blood lactate dehydrogenase increased,,,,
Vitreous adhesions,,,,
Subclavian artery thrombosis,,,,
Gastric disorder,,,,
Blood product transfusion dependent,,,,
Prothrombin time abnormal,,,,
Eating disorder symptom,,,,
Bacteriuria,,,,
Optic disc drusen,,,,
Pharyngeal ulceration,,,,
Metastases to gastrointestinal tract,,,,
Blood creatine abnormal,,,,
Implant site haematoma,,,,
Heart and lung transplant,,,,
Angina bullosa haemorrhagica,,,,
Medical device site thrombosis,,,,
Inadequate haemodialysis,,,,
Alpha haemolytic streptococcal infection,,,,
Retinal vascular disorder,,,,
Cutaneous symptom,,,,
Dermatitis allergic,,,,
Bone marrow oedema,,,,
Lung carcinoma cell type unspecified stage III,,,,
Blood follicle stimulating hormone decreased,,,,
